tclassif	cov	count	proportion	gen	Number_of_Distinct_Classifications	Z	Archilochus_colubris
Unclassified	1368725	2813	0.0175838675875579	77839815	79	Z	Apus_apus
DNA	89217	569	0.000976690885627326	91346199	52	Z	Hemiprocne_comata
LINE	13825467	23604	0.151352406026221	91346199	160	Z	Hemiprocne_comata
LTR	3064821	4410	0.0335517080464399	91346199	56	Z	Hemiprocne_comata
Other (Simple Repeat, Microsatellite, RNA)	9402	12	0.000102927107016243	91346199	3	Z	Hemiprocne_comata
Penelope	24351	50	0.000266579236646727	91346199	2	Z	Hemiprocne_comata
Rolling Circle	36142	108	0.0003956595938929	91346199	2	Z	Hemiprocne_comata
SINE	59921	230	0.000655976938898136	91346199	5	Z	Hemiprocne_comata
Unclassified	1559365	3132	0.0170709347194622	91346199	82	Z	Hemiprocne_comata
DNA	36266	82	0.00206132349290942	17593551	11	W	Hemiprocne_comata
LINE	4279480	6076	0.24324140135212	17593551	132	W	Hemiprocne_comata
LTR	8422035	7836	0.478700121425174	17593551	191	W	Hemiprocne_comata
Other (Simple Repeat, Microsatellite, RNA)	82273	125	0.00467631577047749	17593551	7	W	Hemiprocne_comata
Penelope	25469	46	0.0014476327149647	17593551	1	W	Hemiprocne_comata
Rolling Circle	474	6	0.0000269416901681758	17593551	1	W	Hemiprocne_comata
SINE	558	6	0.0000317161669068399	17593551	2	W	Hemiprocne_comata
Unclassified	850612	2122	0.0483479429479586	17593551	57	W	Hemiprocne_comata
DNA	120354	693	0.00142912025900807	84215446	56	Z	Aegotheles_albertisi
LINE	10716921	17425	0.127256002420269	84215446	109	Z	Aegotheles_albertisi
LTR	2125118	2757	0.0252343020305325	84215446	40	Z	Aegotheles_albertisi
Other (Simple Repeat, Microsatellite, RNA)	6490	10	0.0000770642478103126	84215446	2	Z	Aegotheles_albertisi
Penelope	15058	31	0.000178803304087471	84215446	2	Z	Aegotheles_albertisi
Rolling Circle	618	5	0.00000733832128609756	84215446	1	Z	Aegotheles_albertisi
SINE	29954	222	0.000355682970556256	84215446	3	Z	Aegotheles_albertisi
Unclassified	837386	2265	0.00994337784543705	84215446	64	Z	Aegotheles_albertisi
DNA	54673	185	0.00218795849261894	24988134	40	W	Aegotheles_albertisi
LINE	5998230	8634	0.240043134073156	24988134	116	W	Aegotheles_albertisi
LTR	7923538	7336	0.317092024558536	24988134	179	W	Aegotheles_albertisi
Other (Simple Repeat, Microsatellite, RNA)	77246	166	0.00309130725807697	24988134	5	W	Aegotheles_albertisi
Penelope	10914	23	0.000436767307234706	24988134	2	W	Aegotheles_albertisi
Rolling Circle	263	3	0.0000105249955839039	24988134	1	W	Aegotheles_albertisi
SINE	3044	29	0.0001218178196099	24988134	3	W	Aegotheles_albertisi
Unclassified	880159	1980	0.0352230782818757	24988134	89	W	Aegotheles_albertisi
DNA	391199	2480	0.00220391910550582	177501524	61	Z	Podargus_strigoides
LINE	16735465	29915	0.0942835003489886	177501524	111	Z	Podargus_strigoides
LTR	4983332	7064	0.0280748688107038	177501524	49	Z	Podargus_strigoides
Other (Simple Repeat, Microsatellite, RNA)	325065	17	0.00183133638897658	177501524	2	Z	Podargus_strigoides
Penelope	34616	275	0.000195018043901415	177501524	3	Z	Podargus_strigoides
Rolling Circle	1396	9	0.00000786472120656271	177501524	1	Z	Podargus_strigoides
SINE	129576	870	0.00072999936608995	177501524	6	Z	Podargus_strigoides
Unclassified	1153400	3977	0.00649797237797237	177501524	73	Z	Podargus_strigoides
DNA	185764	1164	0.00185797529022087	99981954	57	Z	Nyctibius_grandis
LINE	10310828	15320	0.10312689027862	99981954	90	Z	Nyctibius_grandis
LTR	4094758	3591	0.0409549707340187	99981954	51	Z	Nyctibius_grandis
Penelope	4467	20	0.0000446780626031774	99981954	1	Z	Nyctibius_grandis
Rolling Circle	863	5	0.00000863155765089368	99981954	1	Z	Nyctibius_grandis
SINE	49047	359	0.000490558526191637	99981954	3	Z	Nyctibius_grandis
Unclassified	523541	1580	0.00523635495261475	99981954	53	Z	Nyctibius_grandis
DNA	20529	109	0.000767257949999927	26756321	27	W	Nyctibius_grandis
LINE	4583330	4712	0.171298961467834	26756321	71	W	Nyctibius_grandis
LTR	12894919	8270	0.481939164954704	26756321	154	W	Nyctibius_grandis
Penelope	772	2	0.000028852995148324	26756321	1	W	Nyctibius_grandis
SINE	3883	30	0.000145124585700702	26756321	2	W	Nyctibius_grandis
Unclassified	146083	343	0.00545975659359147	26756321	25	W	Nyctibius_grandis
DNA	188541	732	0.00228181897937347	82627501	55	Z	Caprimulgus_europaeus
LINE	7899140	14304	0.0955994058201034	82627501	107	Z	Caprimulgus_europaeus
LTR	3152278	5299	0.0381504700232916	82627501	52	Z	Caprimulgus_europaeus
Penelope	2131	9	0.0000257904447576116	82627501	1	Z	Caprimulgus_europaeus
Rolling Circle	824	5	0.00000997246667305114	82627501	1	Z	Caprimulgus_europaeus
SINE	28690	212	0.000347220957342036	82627501	3	Z	Caprimulgus_europaeus
Unclassified	354781	1138	0.00429373992564534	82627501	55	Z	Caprimulgus_europaeus
DNA	133855	214	0.005953004375973	22485285	21	W	Caprimulgus_europaeus
LINE	4204011	5875	0.1869672098886	22485285	102	W	Caprimulgus_europaeus
LTR	12059745	13402	0.536339432655623	22485285	261	W	Caprimulgus_europaeus
Other (Simple Repeat, Microsatellite, RNA)	1804	19	0.0000802302483602053	22485285	1	W	Caprimulgus_europaeus
Penelope	478	2	0.0000212583474036464	22485285	1	W	Caprimulgus_europaeus
SINE	2249	17	0.000100020969269458	22485285	2	W	Caprimulgus_europaeus
Unclassified	455949	1175	0.0202776615906803	22485285	44	W	Caprimulgus_europaeus
DNA	227474	1154	0.0026204504457481	86807213	58	Z	Pelecanus_crispus
LINE	7894443	12068	0.0909422469305632	86807213	82	Z	Pelecanus_crispus
LTR	2978643	3538	0.0343133121898522	86807213	22	Z	Pelecanus_crispus
Other (Simple Repeat, Microsatellite, RNA)	175793	356	0.00202509669328976	86807213	5	Z	Pelecanus_crispus
Penelope	2462	11	0.0000283616984685362	86807213	1	Z	Pelecanus_crispus
Rolling Circle	956	5	0.0000110129097221449	86807213	1	Z	Pelecanus_crispus
SINE	38434	304	0.000442751226214347	86807213	3	Z	Pelecanus_crispus
Unclassified	725462	1685	0.00835716267034169	86807213	61	Z	Pelecanus_crispus
DNA	143867	344	0.00648245746088647	22193281	41	W	Pelecanus_crispus
LINE	4550979	5449	0.205061117371514	22193281	84	W	Pelecanus_crispus
LTR	5826845	5878	0.262549958250878	22193281	75	W	Pelecanus_crispus
Other (Simple Repeat, Microsatellite, RNA)	706	8	0.0000318114297746241	22193281	1	W	Pelecanus_crispus
Penelope	646	2	0.0000291079088306051	22193281	1	W	Pelecanus_crispus
Rolling Circle	10223	22	0.000460634910178445	22193281	2	W	Pelecanus_crispus
SINE	6530	53	0.000294233196074073	22193281	3	W	Pelecanus_crispus
Unclassified	606334	1103	0.0273206111345141	22193281	51	W	Pelecanus_crispus
DNA	215254	1378	0.00233686438469903	92112320	58	Z	Nipponia_nippon
LINE	6801593	10470	0.0738402094312683	92112320	88	Z	Nipponia_nippon
LTR	2274504	2589	0.0246927229712594	92112320	34	Z	Nipponia_nippon
Other (Simple Repeat, Microsatellite, RNA)	1264751	23699	0.0137305302917134	92112320	2847	Z	Nipponia_nippon
Penelope	67137	144	0.000728860156817242	92112320	2	Z	Nipponia_nippon
Rolling Circle	1011	7	0.0000109757304994598	92112320	1	Z	Nipponia_nippon
SINE	63896	450	0.000693674852614721	92112320	4	Z	Nipponia_nippon
Unclassified	496542	1655	0.0053906144150967	92112320	64	Z	Nipponia_nippon
DNA	240001	889	0.00524016172469074	45800304	67	W	Nipponia_nippon
LINE	6553968	8735	0.143098788165249	45800304	121	W	Nipponia_nippon
LTR	9203324	8052	0.200944605083844	45800304	139	W	Nipponia_nippon
Other (Simple Repeat, Microsatellite, RNA)	456863	9552	0.00997510846216217	45800304	1669	W	Nipponia_nippon
Penelope	2179	9	0.0000475761034249904	45800304	1	W	Nipponia_nippon
Rolling Circle	20060	52	0.000437988359203904	45800304	2	W	Nipponia_nippon
SINE	26097	216	0.000569799711373095	45800304	3	W	Nipponia_nippon
Unclassified	680220	1701	0.0148518664854277	45800304	85	W	Nipponia_nippon
DNA	208688	1287	0.00239471393933209	87145273	57	Z	Ciconia_maguari
LINE	4732261	8540	0.0543031289832554	87145273	63	Z	Ciconia_maguari
LTR	2573943	2975	0.0295362319881653	87145273	26	Z	Ciconia_maguari
Other (Simple Repeat, Microsatellite, RNA)	848262	18821	0.00973388424636641	87145273	2689	Z	Ciconia_maguari
Penelope	2841	14	0.0000326007355556738	87145273	1	Z	Ciconia_maguari
Rolling Circle	927	5	0.000010637410017638	87145273	1	Z	Ciconia_maguari
SINE	57379	406	0.000658429287380854	87145273	4	Z	Ciconia_maguari
Unclassified	512739	1786	0.00588372704965879	87145273	59	Z	Ciconia_maguari
DNA	205797	1280	0.00231026721290352	89079306	57	Z	Spheniscus_humboldti
LINE	6581497	10207	0.0738835684238492	89079306	67	Z	Spheniscus_humboldti
LTR	3057267	3276	0.0343207321350258	89079306	25	Z	Spheniscus_humboldti
Other (Simple Repeat, Microsatellite, RNA)	38922	242	0.000436936497911198	89079306	2	Z	Spheniscus_humboldti
Penelope	3063	14	0.0000343850905169827	89079306	1	Z	Spheniscus_humboldti
Rolling Circle	22768	66	0.000255592471724016	89079306	2	Z	Spheniscus_humboldti
SINE	47383	356	0.000531919276515244	89079306	3	Z	Spheniscus_humboldti
Unclassified	545836	1829	0.00612752865407371	89079306	54	Z	Spheniscus_humboldti
DNA	141694	538	0.00349715668135148	40516915	45	W	Spheniscus_humboldti
LINE	8606716	8994	0.212422786878024	40516915	93	W	Spheniscus_humboldti
LTR	12433376	9407	0.306868773202501	40516915	120	W	Spheniscus_humboldti
Other (Simple Repeat, Microsatellite, RNA)	304	5	0.0000075030391627793	40516915	2	W	Spheniscus_humboldti
Penelope	1248	4	0.0000308019502471992	40516915	1	W	Spheniscus_humboldti
Rolling Circle	25834	75	0.000637610242536975	40516915	4	W	Spheniscus_humboldti
SINE	9765	78	0.000241010452054407	40516915	3	W	Spheniscus_humboldti
Unclassified	671647	3736	0.0165769531071159	40516915	67	W	Spheniscus_humboldti
DNA	115911	716	0.00136063534771951	85188879	55	Z	Rhynochetos_jubatus
LINE	8702970	14612	0.102160870082584	85188879	104	Z	Rhynochetos_jubatus
LTR	3440041	4716	0.0403813389773564	85188879	40	Z	Rhynochetos_jubatus
Other (Simple Repeat, Microsatellite, RNA)	5392	13	0.0000632946467108694	85188879	1	Z	Rhynochetos_jubatus
Penelope	2292	11	0.0000269049203006885	85188879	1	Z	Rhynochetos_jubatus
Rolling Circle	613	4	0.00000719577493207769	85188879	1	Z	Rhynochetos_jubatus
SINE	31402	229	0.000368616189913709	85188879	3	Z	Rhynochetos_jubatus
Unclassified	318256	777	0.00373588669948339	85188879	42	Z	Rhynochetos_jubatus
DNA	2512	17	0.000151818968934043	16546022	12	W	Rhynochetos_jubatus
LINE	1308760	1938	0.0790981663145377	16546022	37	W	Rhynochetos_jubatus
LTR	3920691	3340	0.236956713825232	16546022	78	W	Rhynochetos_jubatus
Other (Simple Repeat, Microsatellite, RNA)	2125764	72	0.128475835460632	16546022	7	W	Rhynochetos_jubatus
Rolling Circle	144	1	0.00000870299821914899	16546022	1	W	Rhynochetos_jubatus
SINE	690	5	0.0000417018664667556	16546022	1	W	Rhynochetos_jubatus
Unclassified	6710	17	0.00040553554201729	16546022	3	W	Rhynochetos_jubatus
DNA	168350	1034	0.0019678178613503	85551617	55	Z	Sterna_hirundo
LINE	7306429	13200	0.0854037510477447	85551617	83	Z	Sterna_hirundo
LTR	1664637	2418	0.0194576918400034	85551617	28	Z	Sterna_hirundo
Other (Simple Repeat, Microsatellite, RNA)	1028224	22703	0.01201875588161	85551617	2583	Z	Sterna_hirundo
Penelope	3038	15	0.000035510725647652	85551617	1	Z	Sterna_hirundo
Rolling Circle	866	5	0.0000101225439140443	85551617	1	Z	Sterna_hirundo
SINE	36276	272	0.000424024714810475	85551617	3	Z	Sterna_hirundo
Unclassified	485455	1464	0.00567441057250852	85551617	51	Z	Sterna_hirundo
DNA	20944	138	0.000692489635138903	30244496	33	W	Sterna_hirundo
LINE	6310714	8199	0.208656609784471	30244496	115	W	Sterna_hirundo
LTR	10954297	8429	0.362191421539972	30244496	147	W	Sterna_hirundo
Other (Simple Repeat, Microsatellite, RNA)	147867	3003	0.0048890548548073	30244496	820	W	Sterna_hirundo
Penelope	413	1	0.0000136553771635011	30244496	1	W	Sterna_hirundo
SINE	9105	79	0.000301046511074279	30244496	3	W	Sterna_hirundo
Unclassified	743413	1827	0.0245801087245759	30244496	74	W	Sterna_hirundo
DNA	147556	909	0.00167280606687748	88208671	56	Z	Rissa_tridactyla
LINE	8969135	13325	0.101680876702019	88208671	84	Z	Rissa_tridactyla
LTR	1689080	2344	0.0191486843736712	88208671	29	Z	Rissa_tridactyla
Other (Simple Repeat, Microsatellite, RNA)	16595	6	0.000188133431916234	88208671	2	Z	Rissa_tridactyla
Penelope	3329	15	0.0000377400539228167	88208671	1	Z	Rissa_tridactyla
Rolling Circle	864	5	0.00000979495541883859	88208671	1	Z	Rissa_tridactyla
SINE	36926	276	0.00041862097661578	88208671	3	Z	Rissa_tridactyla
Unclassified	1775719	1531	0.0201308893997507	88208671	54	Z	Rissa_tridactyla
DNA	31839	209	0.000998628630308647	31882723	41	W	Rissa_tridactyla
LINE	7241701	9125	0.227135586881961	31882723	123	W	Rissa_tridactyla
LTR	8721995	7226	0.273564933584876	31882723	120	W	Rissa_tridactyla
Other (Simple Repeat, Microsatellite, RNA)	327516	22	0.0102725228331344	31882723	2	W	Rissa_tridactyla
Penelope	606	2	0.0000190071594574905	31882723	1	W	Rissa_tridactyla
Rolling Circle	2563	13	0.0000803883658243369	31882723	2	W	Rissa_tridactyla
SINE	11443	89	0.000358909118270732	31882723	3	W	Rissa_tridactyla
Unclassified	791716	2014	0.0248321324373705	31882723	75	W	Rissa_tridactyla
DNA	192473	1212	0.00219899762597188	87527607	59	Z	Pluvialis_apricaria
LINE	8105361	13802	0.0926034799511884	87527607	89	Z	Pluvialis_apricaria
LTR	1485623	2422	0.0169731933834316	87527607	34	Z	Pluvialis_apricaria
Other (Simple Repeat, Microsatellite, RNA)	14589	25	0.000166678839968743	87527607	2	Z	Pluvialis_apricaria
Penelope	2784	14	0.0000318071074421125	87527607	1	Z	Pluvialis_apricaria
Rolling Circle	833	5	0.00000951699730577577	87527607	1	Z	Pluvialis_apricaria
SINE	36880	273	0.000421352773873962	87527607	3	Z	Pluvialis_apricaria
Unclassified	299669	1030	0.00342370836209426	87527607	46	Z	Pluvialis_apricaria
DNA	36442	207	0.00113873691633718	32002124	32	W	Pluvialis_apricaria
LINE	7045114	7790	0.220145200362326	32002124	103	W	Pluvialis_apricaria
LTR	9515878	7592	0.297351450797453	32002124	149	W	Pluvialis_apricaria
Other (Simple Repeat, Microsatellite, RNA)	4827	11	0.000150833738410613	32002124	1	W	Pluvialis_apricaria
Penelope	878	3	0.0000274356789568092	32002124	1	W	Pluvialis_apricaria
Rolling Circle	21314	71	0.0006660182930358	32002124	3	W	Pluvialis_apricaria
SINE	6654	52	0.000207923699064475	32002124	2	W	Pluvialis_apricaria
Unclassified	425566	1151	0.0132980548416099	32002124	61	W	Pluvialis_apricaria
DNA	102424	635	0.00110710931309014	92514803	55	Z	Porphyrio_hochstetteri
LINE	13829657	25531	0.149485882815964	92514803	145	Z	Porphyrio_hochstetteri
LTR	6072300	8277	0.0656359826005358	92514803	61	Z	Porphyrio_hochstetteri
Other (Simple Repeat, Microsatellite, RNA)	158	2	0.00000170783479915101	92514803	1	Z	Porphyrio_hochstetteri
Penelope	2648	14	0.0000286224465072903	92514803	1	Z	Porphyrio_hochstetteri
Rolling Circle	556	3	0.00000600984904005038	92514803	1	Z	Porphyrio_hochstetteri
SINE	25647	190	0.000277220500593835	92514803	3	Z	Porphyrio_hochstetteri
Unclassified	578915	1678	0.00625753913133231	92514803	64	Z	Porphyrio_hochstetteri
DNA	124	1	0.0000234910237767049	5278612	1	W	Porphyrio_hochstetteri
LINE	1943334	2234	0.368152461290961	5278612	45	W	Porphyrio_hochstetteri
LTR	2118885	2147	0.40140949931535	5278612	63	W	Porphyrio_hochstetteri
Unclassified	149138	364	0.0282532605162115	5278612	18	W	Porphyrio_hochstetteri
DNA	165834	1055	0.00189317159875461	87595863	57	Z	Balearica_regulorum
LINE	6388124	11471	0.0729272340178896	87595863	78	Z	Balearica_regulorum
LTR	4368315	5042	0.0498689647021344	87595863	44	Z	Balearica_regulorum
Other (Simple Repeat, Microsatellite, RNA)	100	1	0.00000114160642495183	87595863	1	Z	Balearica_regulorum
Penelope	3089	14	0.0000352642224667619	87595863	1	Z	Balearica_regulorum
Rolling Circle	47597	118	0.000543370410084321	87595863	2	Z	Balearica_regulorum
SINE	36149	260	0.000412679306555836	87595863	3	Z	Balearica_regulorum
Unclassified	370984	1265	0.00423517717954329	87595863	47	Z	Balearica_regulorum
DNA	26788	142	0.000861811703987176	31083356	31	W	Balearica_regulorum
LINE	5569231	8132	0.179170839853972	31083356	106	W	Balearica_regulorum
LTR	14283453	13649	0.459520941046392	31083356	156	W	Balearica_regulorum
Other (Simple Repeat, Microsatellite, RNA)	12999	13	0.000418198086461449	31083356	2	W	Balearica_regulorum
Penelope	747	3	0.0000240321540569815	31083356	1	W	Balearica_regulorum
Rolling Circle	11136	29	0.000358262473331387	31083356	2	W	Balearica_regulorum
SINE	5479	48	0.000176267967976173	31083356	2	W	Balearica_regulorum
Unclassified	444802	1074	0.0143099734790542	31083356	60	W	Balearica_regulorum
DNA	123258	775	0.00134946103013873	91338688	55	Z	Opisthocomus_hoazin
LINE	11575062	15926	0.126726825767412	91338688	87	Z	Opisthocomus_hoazin
LTR	3951035	3756	0.043256971240927	91338688	44	Z	Opisthocomus_hoazin
Other (Simple Repeat, Microsatellite, RNA)	155	2	0.00000169698080182628	91338688	2	Z	Opisthocomus_hoazin
Penelope	3061	13	0.0000335126337702595	91338688	1	Z	Opisthocomus_hoazin
Rolling Circle	672	3	0.00000735723289565972	91338688	1	Z	Opisthocomus_hoazin
SINE	37832	267	0.000414194694804462	91338688	4	Z	Opisthocomus_hoazin
Unclassified	552518	1387	0.00604911250750613	91338688	54	Z	Opisthocomus_hoazin
DNA	70248	455	0.000793075415682698	88576696	52	Z	Sylvia_atricapilla
LINE	4648216	11525	0.0524767372221696	88576696	98	Z	Sylvia_atricapilla
LTR	5393639	7552	0.0608923028693687	88576696	135	Z	Sylvia_atricapilla
Other (Simple Repeat, Microsatellite, RNA)	149	2	0.00000168215802495049	88576696	2	Z	Sylvia_atricapilla
Penelope	1855	9	0.0000209423029280749	88576696	1	Z	Sylvia_atricapilla
Rolling Circle	454	2	0.00000512550163307062	88576696	1	Z	Sylvia_atricapilla
SINE	15460	117	0.000174538007152581	88576696	3	Z	Sylvia_atricapilla
Unclassified	358980	985	0.00405275897850152	88576696	51	Z	Sylvia_atricapilla
DNA	8483	47	0.000391120806165314	21688951	20	W	Sylvia_atricapilla
LINE	699250	1635	0.0322399179194974	21688951	34	W	Sylvia_atricapilla
LTR	11624561	9098	0.535966953865127	21688951	289	W	Sylvia_atricapilla
Other (Simple Repeat, Microsatellite, RNA)	10071	55	0.000464337809606375	21688951	2	W	Sylvia_atricapilla
Penelope	329	1	0.0000151690139370964	21688951	1	W	Sylvia_atricapilla
SINE	848	7	0.0000390982486889292	21688951	2	W	Sylvia_atricapilla
Unclassified	281048	826	0.0129581186291582	21688951	44	W	Sylvia_atricapilla
DNA	58482	383	0.000648844849915214	90132487	51	Z	Hirundo_rustica
LINE	4809607	11533	0.0533615254619569	90132487	80	Z	Hirundo_rustica
LTR	9482718	10258	0.105208658005853	90132487	151	Z	Hirundo_rustica
Other (Simple Repeat, Microsatellite, RNA)	1527718	31621	0.0169496931777773	90132487	2809	Z	Hirundo_rustica
Penelope	1759	9	0.0000195157157929083	90132487	1	Z	Hirundo_rustica
Rolling Circle	294	2	0.00000326186494776295	90132487	1	Z	Hirundo_rustica
SINE	12860	100	0.000142678854517794	90132487	3	Z	Hirundo_rustica
Unclassified	689841	1676	0.00765363325656375	90132487	55	Z	Hirundo_rustica
DNA	6635	41	0.000209279097695772	31704074	26	W	Hirundo_rustica
LINE	817992	1642	0.0258008481812148	31704074	41	W	Hirundo_rustica
LTR	20029370	14841	0.631760132782935	31704074	319	W	Hirundo_rustica
Other (Simple Repeat, Microsatellite, RNA)	191025	2270	0.00602525088731499	31704074	617	W	Hirundo_rustica
SINE	838	7	0.0000264319342681322	31704074	2	W	Hirundo_rustica
Unclassified	381134	1026	0.0120216095887235	31704074	56	W	Hirundo_rustica
DNA	84708	565	0.000820749526241162	103208101	55	Z	Prinia_subflava
LINE	5164742	13091	0.050042021410703	103208101	80	Z	Prinia_subflava
LTR	6371039	8702	0.0617300283434146	103208101	140	Z	Prinia_subflava
Other (Simple Repeat, Microsatellite, RNA)	1728396	27286	0.0167467086716381	103208101	3262	Z	Prinia_subflava
Penelope	2439	13	0.0000236318658745596	103208101	1	Z	Prinia_subflava
Rolling Circle	308	2	0.00000298426186525804	103208101	1	Z	Prinia_subflava
SINE	20613	151	0.000199722694248584	103208101	3	Z	Prinia_subflava
Unclassified	748122	1551	0.00724867517909277	103208101	60	Z	Prinia_subflava
DNA	5740	39	0.000528775765267041	10855263	24	W	Prinia_subflava
LINE	360033	511	0.0331666768460608	10855263	22	W	Prinia_subflava
LTR	4635455	3595	0.427023739544588	10855263	151	W	Prinia_subflava
Other (Simple Repeat, Microsatellite, RNA)	59953	1357	0.00552294311063675	10855263	394	W	Prinia_subflava
SINE	1203	9	0.000110821819793772	10855263	2	W	Prinia_subflava
Unclassified	423646	715	0.0390267835979653	10855263	34	W	Prinia_subflava
DNA	138268	875	0.000943266344263249	146584261	56	Z	Poecile_atricapillus
LINE	7099280	19527	0.0484313933267365	146584261	90	Z	Poecile_atricapillus
LTR	9534646	11776	0.0650454962555632	146584261	161	Z	Poecile_atricapillus
Other (Simple Repeat, Microsatellite, RNA)	245046	298	0.0016717074420425	146584261	3	Z	Poecile_atricapillus
Penelope	3367	17	0.0000229697238777907	146584261	1	Z	Poecile_atricapillus
Rolling Circle	75668	161	0.000516208216924462	146584261	4	Z	Poecile_atricapillus
SINE	48520	357	0.000331004158761629	146584261	4	Z	Poecile_atricapillus
Unclassified	1459462	3474	0.00995647138405944	146584261	75	Z	Poecile_atricapillus
DNA	62219	400	0.00082992004001394	74969873	50	Z	Molothrus_aeneus
LINE	4951644	10734	0.0660484512225331	74969873	84	Z	Molothrus_aeneus
LTR	3896404	5899	0.0519729305130342	74969873	112	Z	Molothrus_aeneus
Other (Simple Repeat, Microsatellite, RNA)	20444	58	0.00027269620691501	74969873	1	Z	Molothrus_aeneus
Penelope	2218	10	0.0000295852175179755	74969873	1	Z	Molothrus_aeneus
Rolling Circle	534	2	0.00000712286120586065	74969873	1	Z	Molothrus_aeneus
SINE	16406	122	0.000218834571054962	74969873	3	Z	Molothrus_aeneus
Unclassified	550062	1119	0.00733710726707514	74969873	46	Z	Molothrus_aeneus
DNA	793	5	0.0000616477710676982	12863401	5	W	Molothrus_aeneus
LINE	1049145	1413	0.0815604675621945	12863401	28	W	Molothrus_aeneus
LTR	8187303	8149	0.636480430020024	12863401	287	W	Molothrus_aeneus
Other (Simple Repeat, Microsatellite, RNA)	1082817	47	0.0841781267644537	12863401	2	W	Molothrus_aeneus
Penelope	18576	17	0.00144409709376237	12863401	1	W	Molothrus_aeneus
SINE	634	4	0.0000492871208788407	12863401	2	W	Molothrus_aeneus
